	shopname	address	phone	website	longitude	latitude
202	The Coffee Bean & Tea Leaf	11600 Wilshire Blvd, Los Angeles, CA 90025	(310) 477-7020	http://coffeebean.com	-118.4592884	34.0503619
203	The Good Karma Cafe	817 W 34th St, Los Angeles, CA 90089	(213) 740-6110	not found	-118.2842049	34.0232077
204	Cafe Latte	3130 W Olympic Blvd Ste 100, Los Angeles, CA 90006	(323) 734-4606	not found	-118.303845	34.052396
205	Sunshine Cafe	2500 Wilshire Blvd # 106, Los Angeles, CA 90057	(213) 252-5226	not found	-118.2811887	34.0600418
206	Starbucks Coffee - Health Science Campus - USC	1969 Zonal Ave, Los Angeles, CA 90033	(323) 442-1943	http://www.starbucks.com	-118.2064326	34.0602225
207	Pasquini Espresso Co	1501 W Olympic Blvd, Los Angeles, CA 90015	(714) 557-8099	http://www.pasquini.com	-118.272545	34.048696
208	Winchell&#39s Donuts	2601 Colorado Blvd, Los Angeles, CA 90041	(323) 257-5831	http://www.winchells.com	-118.2230095	34.1424531
209	Blue Bottle Coffee	8301 Beverly Blvd, Los Angeles, CA 90048	(213) 621-4194	https://bluebottlecoffee.com	-118.370221	34.0762809
210	Roberto&#39s Cafe	3112 N Broadway, Los Angeles, CA 90031	(323) 222-0800	not found	-118.2085853	34.073289
211	Pa2gh Grill	11033 Santa Monica Blvd, Los Angeles, CA 90025	(310) 444-0088	http://www.pa2ghgrill.com	-118.4428247	34.0485438
212	Starbucks Coffee	3450 Wilshire Blvd, Los Angeles, CA 90010	(213) 382-3351	http://www.starbucks.com	-118.2995192	34.0613002
213	Ground Coffee	4658 Melrose Ave, Los Angeles, CA 90029	(323) 669-7387	not found	-118.3021343	34.0832283
214	Caffe Bene	607 S Western Ave, Los Angeles, CA 90005	(213) 251-1022	http://www.caffebene.com	-118.3093443	34.0631213
215	Starbucks Coffee	10955 Weyburn Ave, Los Angeles, CA 90024	(310) 209-1626	http://www.starbucks.com	-118.4474496	34.0624777
216	Volcano Tea House	2111 Sawtelle Blvd, Los Angeles, CA 90025	(310) 445-5326	http://www.volcanoteahouse.com	-118.4425935	34.039138
217	Vine Street Deli	1241 Vine St, Los Angeles, CA 90038	(323) 464-3364	http://thevinestreetdelicafe.com	-118.3272796	34.0936742
218	Sexy Beans	6434 Hollywood Blvd, Los Angeles, CA 90028	(323) 462-9100	not found	-118.3307661	34.1014695
219	Winchell&#39s Donuts	1404 W Imperial Hwy, Los Angeles, CA 90047	(323) 754-8346	http://www.winchells.com	-118.3007252	33.930583
220	Rio Coffee	2520 N San Fernando Rd, Los Angeles, CA 90065	(323) 223-9746	not found	-118.240897	34.106989
221	Bambino&#39s Cafe	850 S Arroyo Pkwy, Pasadena, CA 91105	(626) 577-5007	not found	-118.1468263	34.1310948
222	Starbucks Coffee	642 W 34th St, Los Angeles, CA 90007	(213) 740-6285	http://www.starbucks.com	-118.2824174	34.021445
223	Capital One 360 Caf&#xE9	11175 Santa Monica Blvd, Los Angeles, CA 90025	(310) 445-0429	http://cafes.capitalone360.com/los_angeles/?external_id=ENTSOC_YX_Yext360_Profile_0101	-118.4458965	34.0474825
224	Broome Street General Store	2912 Rowena Ave, Los Angeles, CA 90039	(323) 570-0405	http://www.broomestgeneral.com	-118.268554	34.1081878
225	Peet&#39s Coffee & Tea	8833 W Sunset Blvd Suite 100 Retail, West Hollywood, CA 90069	(310) 492-0490	http://www.peets.com	-118.3783347	34.0931603
226	Abby&#39s Diner	4862 Eagle Rock Blvd, Los Angeles, CA 90041	(323) 257-2229	http://www.yelp.com/biz/abbys-diner-los-...	-118.2154341	34.1342092
227	Peet&#39s Coffee & Tea	7660 Beverly Blvd Erewhon Natural Foods Grocery, Los Angeles, CA 90036	(323) 937-6465	http://www.peets.com	-118.3520389	34.0664817
228	Starbucks Coffee	2952 N Beverly Glen Cir, Los Angeles, CA 90077	(310) 470-8121	http://www.starbucks.com	-118.4440018	34.1277986
229	Peet&#39s Coffee & Tea	5601 Wilshire Blvd Ralph&#39s #0289 Grocery, Los Angeles, CA 90036	(323) 936-4954	http://www.peets.com	-118.3520389	34.0664817
230	Bixel Cafe	1055 W 7th St, Los Angeles, CA 90017	(213) 239-5657	not found	-118.2632936	34.0508504
231	Peet&#39s Coffee & Tea	11361 National Blvd Ralph&#39s #0709 Grocery, Los Angeles, CA 90064	(310) 479-4351	http://www.peets.com	-118.4221519	34.0386656
232	Koffea	610 S Berendo St, Los Angeles, CA 90005	(213) 427-1441	not found	-118.2941374	34.0632997
233	Copa Vida	70 S Raymond Ave, Pasadena, CA 91105	(626) 213-3952	http://www.copa-vida.com	-118.1488744	34.1446201
234	Super Snack Stand	2700 N Broadway, Los Angeles, CA 90031	(323) 223-3848	not found	-118.214147	34.0733
235	New Seoul Hotel	2666 W Olympic Blvd Ste 113, Los Angeles, CA 90006	(213) 384-6314	not found	-118.2901236	34.0520489
236	Tea Uniglobe Inc	2 E Main St Ste 2, Alhambra, CA 91801	(626) 576-1209	not found	-118.1257724	34.0952666
237	Cha For Tea	2 E Main St, Alhambra, CA 91801	(626) 576-1209	http://www.chafortea.com	-118.1257724	34.0952666
238	Peet&#39s Coffee & Tea	670 S Western Ave, Los Angeles, CA 90005	(213) 383-5058	http://www.peets.com	-118.3085512	34.0601107
239	The Highland Cafe	5010 York Blvd, Los Angeles, CA 90042	(323) 259-1000	http://www.thehighlandcafela.com	-118.2065699	34.1211365
240	Dolcini Caffe Espresso	865 S Figueroa St, Los Angeles, CA 90017	(213) 622-0140	http://www.camminga.com	-118.2629232	34.0467708
241	Etchea Cafe Bakery & Catering	2280 S Figueroa St, Los Angeles, CA 90007	(213) 744-1903	http://www.etcheabakery.com	-118.2738696	34.0309238
242	Starbucks Coffee	5020 Wilshire Blvd, Los Angeles, CA 90036	(323) 936-2989	http://www.starbucks.com	-118.3389254	34.0618802
243	Peet&#39s Coffee & Tea	5245 W Centinela Ave Ralph&#39s #0185 Grocery, Los Angeles, CA 90045	(310) 641-2813	http://www.peets.com	-118.3875775	33.9516114
244	Cafe Honey Bunny	3200 Wilshire Blvd, Los Angeles, CA 90010	(213) 384-0480	not found	-118.2919637	34.0614543
245	Pasqual Coffee Bars	300 S Grand Ave, Los Angeles, CA 90071	(213) 613-0555	http://www.cit.com	-118.2511985	34.0522486
246	The Coffee Bean & Tea Leaf	7915 W Sunset Blvd, Los Angeles, CA 90046	(323) 851-8392	http://coffeebean.com	-118.362439	34.0982483
247	Drip	3525 W 8th St, Los Angeles, CA 90005	(818) 521-7338	not found	-118.3071801	34.0580418
248	Cafe Caracas	239 E 5th St, Los Angeles, CA 90013	(213) 622-0863	http://www.caracasarepabar.com	-118.2471527	34.0458108
249	Winchell&#39s Donuts	10833 National Blvd, Los Angeles, CA 90064	(310) 474-9010	http://www.winchells.com	-118.4213749	34.03081
250	Muse On Eighth	759 S La Brea Ave, Los Angeles, CA 90036	(323) 933-6873	http://www.museon8th.com	-118.3448431	34.0606616
251	Metro Cafe	2700 Colorado Blvd # 281, Los Angeles, CA 90041	(323) 344-1502	http://www.metrocafela.com	-118.2251116	34.1410815
252	CJ&#39s Cafe	5501 W Pico Blvd, Los Angeles, CA 90019	(323) 936-3216	http://www.cjscafe.net	-118.3575264	34.0491734
253	Literati Cafe	12081 Wilshire Blvd, Los Angeles, CA 90025	(310) 231-7484	http://www.literati2.com	-118.4674315	34.0444609
254	Cafe Avec	3224 W Olympic Blvd #103, Los Angeles, CA 90006	(323) 766-1022	http://cafe-avec.com	-118.3069616	34.052391
255	West Wilshire Cafe	11620 Wilshire Blvd Ste LL, Los Angeles, CA 90025	(310) 445-5320	not found	-118.4484367	34.0448583
256	Coco Tea	11301 W Olympic Blvd # 105, Los Angeles, CA 90064	(310) 312-8937	not found	-118.4418145	34.0385854
257	Cafe Momo	2116 Westwood Blvd, Los Angeles, CA 90025	(310) 470-6601	not found	-118.4323888	34.0450523
258	Milk	7290 Beverly Blvd, Los Angeles, CA 90036	(323) 939-6455	http://www.themilkshop.com	-118.3484353	34.0758712
259	The Porter Junction Cafe	2350 Porter St, Los Angeles, CA 90021	(213) 489-4430	http://blogspot.com	-118.2306096	34.0264123
260	Brite Spot Family Restaurants	1918 W Sunset Blvd, Los Angeles, CA 90026	(213) 484-9800	not found	-118.2613649	34.0777373
261	12th Street Coffee Shop	1107 E 12th St, Los Angeles, CA 90021	(213) 622-9260	http://123order.com	-118.247299	34.0313329
262	Le Pain Quotidien	730 Americana Way, Glendale, CA 91210	(800) 510-3663	http://www.lepainquotidien.us	-118.256354	34.1443918
263	Hedley&#39s Restaurant	640 N Robertson Blvd, West Hollywood, CA 90069	(310) 659-2009	http://www.hedleysrestaurant.com	-118.3852957	34.0820179
264	Starbucks Coffee	6290 W Sunset Blvd, Los Angeles, CA 90028	(323) 464-1859	http://www.starbucks.com	-118.3264099	34.0978304
265	Antique Cafe	3465 W 6th St # 160, Los Angeles, CA 90020	(213) 383-4994	http://antiquecafela.com	-118.2972824	34.0637327
266	BrewWell	3525 W 8th St, Los Angeles, CA 90005	(213) 384-0884	not found	-118.3071801	34.0580418
267	The Coffee Bean & Tea Leaf	8631 W 3rd St , Suite 311E, Los Angeles, CA 90048	(310) 657-6466	http://coffeebean.com	-118.3806969	34.0740315
268	Starbucks Coffee	6745 Hollywood Blvd, Los Angeles, CA 90028	(323) 467-5534	http://www.starbucks.com	-118.3372052	34.1018095
269	Starbucks Coffee	6240 York Blvd, Los Angeles, CA 90042	(323) 478-7365	http://www.starbucks.com	-118.1833406	34.1148192
270	Peet&#39s Coffee & Tea	1515 Westwood Blvd Bristol Farms Westwood #15 Wpb, Los Angeles, CA 90024	(310) 481-0100	http://www.peets.com	-118.4367551	34.0631451
271	The Coffee Bean & Tea Leaf	5979 W 3rd St, Los Angeles, CA 90036	(323) 934-7277	http://coffeebean.com	-118.350807	34.070137
272	Bob&#39s Coffee & Donuts	6333 W 3rd St # 450, Los Angeles, CA 90036	(323) 933-8929	http://farmersmarketla.com	-118.3605725	34.0717892
273	Yogi Tea	1649 S Robertson Blvd, Los Angeles, CA 90035	(310) 275-9891	http://www.yogitea.com	-118.3854594	34.0493772
274	Peet&#39s Coffee & Tea	12057 Wilshire Blvd Ralph&#39s #0044 Grocery, Los Angeles, CA 90025	(310) 477-8746	http://www.peets.com	-118.4484367	34.0448583
275	Le Pain Quotidien	13050 San Vicente Blvd # 114, Los Angeles, CA 90049	(310) 393-8909	http://www.lepainquotidien.us	-118.4911261	34.0481761
276	101 Coffee Shop	6145 Franklin Ave, Los Angeles, CA 90028	(323) 467-1175	not found	-118.3238678	34.1053993
277	Cycleway Coffee	5526 Monterey Rd, Los Angeles, CA 90042	(323) 256-0200	not found	-118.1863848	34.1020042
278	New Frontier Coffee	3620 Overland Ave, Los Angeles, CA 90034	(310) 839-3423	not found	-118.409817	34.022934
279	Peet&#39s Coffee & Tea	4520 W Sunset Blvd Vons #2665 Grocery, Los Angeles, CA 90027	(323) 662-8107	http://www.peets.com	-118.2935891	34.1220545
280	Starbucks Coffee	523 W 6th St, Los Angeles, CA 90014	(213) 327-0208	http://www.starbucks.com	-118.2547171	34.0486546
281	Olympic Cafe	3728 W Olympic Blvd, Los Angeles, CA 90019	(323) 731-5405	not found	-118.3187772	34.0530965
282	Lazy Daisy Cafe	9010 Wilshire Blvd, Beverly Hills, CA 90211	(310) 859-1111	http://www.lazydaisybeverlyhills.com	-118.3880376	34.0668126
283	Paris Baguette	621 S Western Ave Ste 105-106, Los Angeles, CA 90005	(213) 368-0404	http://www.parisbaguetteusa.com	-118.3094718	34.0627014
284	Peet&#39s Coffee & Tea	124 N Larchmont Blvd, Los Angeles, CA 90004	(323) 978-1003	http://www.peets.com	-118.3233313	34.0737619
285	3rd Street Kafe	8428 W 3rd St, Los Angeles, CA 90048	(323) 782-1777	not found	-118.3742013	34.0728992
286	Sell Happiness Inc.	3650 W Martin Luther King Jr Blvd, Los Angeles, CA 90008	(323) 290-0112	not found	-118.3364283	34.0107472
287	Peet&#39s Coffee & Tea	3410 W 3rd St Ralph&#39s #0032 Grocery, Los Angeles, CA 90020	(213) 480-1421	http://www.peets.com	-118.3096648	34.0655627
288	Alfred Coffee & Kitchen	8428 Melrose Pl, West Hollywood, CA 90069	(323) 944-0811	http://alfredcoffee.com	-118.3743244	34.0834207
289	Cost Plus World Market	10860 Santa Monica Blvd, Los Angeles, CA 90025	(310) 441-5115	http://www.worldmarket.com	-118.4367806	34.0494747
290	Angela&#39s Cafe	8539 W Sunset Blvd, West Hollywood, CA 90069	(310) 358-9234	http://www.angelascoffee.com	-118.3778564	34.0938535
291	Bolee&#39s Store	10100 Santa Monica Blvd Ste 160, Los Angeles, CA 90067	(310) 785-0290	http://elllaw.com	-118.416543	34.0616595
292	Oasis Tropical	824 S Broadway, Los Angeles, CA 90014	(213) 627-8820	not found	-118.2551192	34.0431308
293	The Coffee Bean & Tea Leaf	11698 San Vicente Blvd, Los Angeles, CA 90049	(310) 442-1019	http://coffeebean.com	-118.4651147	34.0534971
294	Root Beer Joe&#39s Sandwich Shop	380 S Lake Ave Ste 106, Pasadena, CA 91101	(626) 844-3488	not found	-118.1316777	34.139258
295	Lady Chocolatt Cafe&#39 (previously known as Chocolatt From Belgium)	12008 Wilshire blvd # 101, Los Angeles, CA 90025	(310) 442-2245	http://www.chocolatt.com	-118.4662898	34.044805
296	Starbucks Coffee	5757 Wilshire Blvd, Los Angeles, CA 90036	(323) 931-1013	http://www.starbucks.com	-118.3539114	34.0627069
297	Peet&#39s Coffee & Tea	7880 W Sunset Blvd Bristol Farms #09 Grocery, Los Angeles, CA 90046	(323) 874-6301	http://www.peets.com	-118.3637264	34.1147313
298	Holy Grounds Coffee & Tea	5371 Alhambra Ave, Los Angeles, CA 90032	(323) 222-8884	http://holygroundscoffeeandtea.com	-118.1687368	34.076846
299	Tierra Mia Coffee	653 S Spring St, Los Angeles, CA 90014	(213) 895-6000	http://www.tierramiacoffee.com	-118.2522957	34.044788
300	Maginn&#39s Irish Coffee House	8470 Santa Monica Blvd, West Hollywood, CA 90069	(310) 855-3564	http://www.theirishcoffeehouse.com	-118.3756666	34.0895613
301	Peet&#39s Coffee & Tea	465 S Arroyo Pkwy Whole Foods #37 Grocery, Pasadena, CA 91105	(626) 204-2266	http://www.peets.com	-118.1678543	34.1406082
302	El Paseo Cafe	380 World Way, Los Angeles, CA 90045	(310) 645-6988	not found	-118.4092011	33.9431128
303	Cafe Shinning Bell	319 E 2nd St, Los Angeles, CA 90012	(213) 680-3015	not found	-118.2407169	34.0494689
304	Peet&#39s Coffee & Tea	10309 W Olympic Blvd, Los Angeles, CA 90064	(310) 553-8117	http://www.peets.com	-118.4176823	34.0525718
305	Starbucks Coffee	201 World Way, Los Angeles, CA 90045	(310) 646-6478	http://www.starbucks.com	-118.4025741	33.9422674
306	Peet&#39s Coffee & Tea	11150 Santa Monica Blvd Ste 100, Los Angeles, CA 90025	(877) 502-2837	http://www.peets.com	-118.4451056	34.046896
307	Mini Cafe	12424 Wilshire Blvd, Los Angeles, CA 90025	(310) 826-7722	not found	-118.4704911	34.0412709
308	School Cafe	521 E Green St, Pasadena, CA 91101	(626) 683-7319	http://schoolcafe.org	-118.1392824	34.144762
309	Starbucks Coffee	5301 W Centinela Ave, Los Angeles, CA 90045	(310) 338-1297	http://www.starbucks.com	-118.3719729	33.977576
310	Drnk Coffee & Tea	1528 N Vermont Ave, Los Angeles, CA 90027	(323) 660-1232	http://www.drnkcoffee.com/home	-118.2914743	34.0988556
311	Sunnin Lebanese Cafe	1776 Westwood Blvd, Los Angeles, CA 90024	(310) 475-3358	not found	-118.437281	34.0506349
312	Demi Tasse Cafe	10900 Wilshire Blvd # 150, Los Angeles, CA 90024	(310) 824-3816	not found	-118.4440258	34.058241
313	Cafe Chez Marie	10681 Santa Monica Blvd, Los Angeles, CA 90025	(310) 475-2949	http://www.cafechezmarie.com	-118.4310833	34.0530917
314	Live House	3617 W 3rd St, Los Angeles, CA 90020	(213) 383-5949	http://www.livehouse.com	-118.294919	34.069311
315	Maggie&#39s Coffee Shop	414 E 12th St, Los Angeles, CA 90015	(213) 748-1773	not found	-118.2559084	34.0352129
316	The Coffee Bean & Tea Leaf	8789 W Sunset Blvd, West Hollywood, CA 90069	(310) 659-1890	http://coffeebean.com	-118.3832229	34.0911316
317	Inky&#39s Loft Cafe	420 S San Pedro St # 225, Los Angeles, CA 90013	(213) 229-0073	not found	-118.2430913	34.0452102
318	Traktir	8151 Santa Monica Blvd, West Hollywood, CA 90046	(323) 654-3030	http://www.traktirrestaurant.com	-118.3665933	34.0910855
319	Peet&#39s Coffee & Tea	9616 W Pico Blvd Ralph&#39s #0198 Grocery, Los Angeles, CA 90035	(310) 271-2672	http://www.peets.com	-118.3841777	34.050751
320	Starbucks Coffee	3242 Cahuenga Blvd W, Los Angeles, CA 90068	(323) 876-8032	http://www.starbucks.com	-118.3485665	34.1296051
321	Westdale Doughnuts	2918 Sawtelle Blvd, Los Angeles, CA 90064	(310) 478-6930	http://primosdonuts.com	-118.4316398	34.0269026
322	Peet&#39s Coffee & Tea	260 S La Brea Ave Ralph&#39s #0039 Grocery, Los Angeles, CA 90036	(323) 937-3264	http://www.peets.com	-118.3520389	34.0664817
323	L.A.&#39s Best Deli & Cafe	605 S. Central Ave., Los Angeles, CA 90021	(213) 622-7437	not found	-118.2400311	34.038927
324	Arto&#39s International Cafe & Dl	659 S Broadway, Los Angeles, CA 90014	(213) 488-1117	not found	-118.2533396	34.0455483
325	Starbucks Coffee	333 S Hope St, Los Angeles, CA 90071	(213) 620-1945	http://www.starbucks.com	-118.2534733	34.0533937
326	Starbucks Coffee	101 W Main St, Alhambra, CA 91801	(626) 282-1171	http://www.starbucks.com	-118.1281093	34.0947771
327	Sky Chefs Inc.	6901 W Imperial Hwy, Los Angeles, CA 90045	(424) 223-5500	http://www.lsg-skychefs.com	-118.4150656	33.931452
328	Starbucks Coffee	206 N Larchmont Blvd, Los Angeles, CA 90004	(323) 469-1081	http://www.starbucks.com	-118.3233494	34.0749075
329	The Village Bakery and Cafe	3119 Los Feliz Blvd, Los Angeles, CA 90039	(323) 662-8600	http://www.thevillagebakeryandcafe.com	-118.2673299	34.1243695
330	Puran&#39s Restaurant	2064 Hillhurst Ave, Los Angeles, CA 90027	(323) 667-1357	not found	-118.2870918	34.1093937
331	H Cafe	1750 Hillhurst Ave, Los Angeles, CA 90027	(323) 660-9930	http://hcoffeehousela.com	-118.2871914	34.102885
332	Stir Crazy Coffee Shop	6903 Melrose Ave, Los Angeles, CA 90038	(323) 934-4656	not found	-118.3417374	34.0836747
333	Peet&#39s Coffee & Tea	8480 Beverly Blvd Target #2775 Grocery, Los Angeles, CA 90048	(323) 586-1880	http://www.peets.com	-118.3724915	34.0741548
334	Ronnie&#39s Diner	12740 Culver Blvd Ste J, Los Angeles, CA 90066	(310) 578-9399	http://www.ronniesdiner.com	-118.4250725	33.9853067
335	Adassa&#39s Island Cafe	4305 Degnan Blvd # 103, Los Angeles, CA 90008	(323) 295-0043	not found	-118.3318508	34.005805
336	Yum-Yum Donuts	4815 Valley Blvd # A, Los Angeles, CA 90032	(323) 226-0344	http://www.yumyumdonuts.com	-118.1798559	34.0668792
337	Colab Inc	305 E 8th St, Los Angeles, CA 90014	(213) 988-7017	not found	-118.251388	34.0413073
338	Gloria&#39s Cafe	10227 Venice Blvd, Los Angeles, CA 90034	(310) 838-0963	http://www.gloriascafela.com	-118.4027334	34.021572
339	Starbucks Coffee	300 World Way, Los Angeles, CA 90045	(310) 846-5830	http://www.starbucks.com	-118.4072751	33.9457982
340	Olive Snackshop	3325 Wilshire Blvd, Los Angeles, CA 90010	(213) 383-3335	not found	-118.2947668	34.0623736
341	G & B	3525 W 8th St, Los Angeles, CA 90005	(213) 384-0884	not found	-118.3071801	34.0580418
342	Aladins Coffee Shop	1150 S Hope St, Los Angeles, CA 90015	(213) 747-4032	http://www.aladdinscoffeeshop.com	-118.263903	34.040807
343	Boba Time	125 N Western Ave Ste 103, Los Angeles, CA 90004	(323) 466-2622	http://www.bobatime.com	-118.309153	34.073801
344	HAUS by Coffee Hunter	3826 W 6th St, Los Angeles, CA 90020	(213) 388-5311	not found	-118.3060506	34.0633129
345	Winchell&#39s Donuts	6014 Atlantic Blvd, Maywood, CA 90270	(323) 560-0891	http://www.winchells.com	-118.1857289	33.9847737
346	Tea Joy	500 N Atlantic Blvd, Monterey Park, CA 91754	(626) 872-0800	not found	-118.1339631	34.0694725
347	Proof Bakery	3156 Glendale Blvd, Los Angeles, CA 90039	(323) 664-8633	http://proofbakeryla.com	-118.261584	34.1169451
348	Vintage Enoteca	7554 W Sunset Blvd, Los Angeles, CA 90046	(323) 512-5278	http://www.vintageenoteca.com	-118.3542175	34.0978564
349	Nicoles	928 S Western Ave Ste 145, Los Angeles, CA 90006	(213) 380-4717	http://www.koreatownplaza.com	-118.3084223	34.0552101
350	Starbucks Coffee	1 World Way, Los Angeles, CA 90045	(310) 948-5066	http://www.starbucks.com	-118.4027946	33.94224
351	Dialog Cafe	8766 Holloway Dr, West Hollywood, CA 90069	(310) 289-1630	http://www.dialog-cafe.com	-118.3827228	34.0904267
352	Bourbon Street Cafe	698 S Vermont Ave, Los Angeles, CA 90005	(213) 388-8767	http://thebourbonstreetcafe.com	-118.2916655	34.0598153
353	Starbucks Coffee	11707 San Vicente Blvd, Los Angeles, CA 90049	(310) 207-4202	http://www.starbucks.com	-118.4660924	34.0537425
354	Nick&#39s Cafe	1300 N Spring St, Los Angeles, CA 90012	(323) 222-1450	http://www.nickscafela.com	-118.2331137	34.0660109
355	Winchell&#39s Donuts	438 Fair Oaks Ave, South Pasadena, CA 91030	(626) 799-9324	http://www.winchells.com	-118.1498476	34.120394
356	Larchmont Bungalow	107 N Larchmont Blvd, Los Angeles, CA 90004	(323) 461-1528	http://www.larchmontbungalow.com	-118.3239032	34.0733266
357	Casbah Cafe	3900 W Sunset Blvd, Los Angeles, CA 90029	(323) 664-7000	http://casbahcafechicago.com	-118.2798717	34.0915621
358	Tierra Mia Coffee Company	5528 Monte Vista St, Los Angeles, CA 90042	(323) 344-3844	not found	-118.1962218	34.1106993
359	Cafe D&#39 Etoile	8941 1/2 Santa Monica Blvd, West Hollywood, CA 90069	(310) 278-1011	not found	-118.3854302	34.0843878
360	Phu Cafe	211 Alpine St, Los Angeles, CA 90012	(213) 624-6267	not found	-118.2374567	34.0622698
361	Cafe Ola	3109 W Olympic Blvd, Los Angeles, CA 90006	(213) 637-2375	not found	-118.3035369	34.0529015
362	Starbucks Coffee	639 N Broadway, Los Angeles, CA 90012	(213) 680-7825	http://www.starbucks.com	-118.2399341	34.0596557
363	Green Tea Coffee	800 S Central Ave, Glendale, CA 91204	(818) 244-5465	not found	-118.257465	34.136531
364	Java The Truck	3975 Meier St #101, Los Angeles, CA 90066	(310) 717-6967	http://www.javathetruck.com	-118.437312	33.996825
365	Peet&#39s Coffee & Tea	3461 W 3rd St Vons #2261 Grocery, Los Angeles, CA 90020	(213) 384-6342	http://www.peets.com	-118.3096648	34.0655627
366	Starbucks Coffee	2626 Colorado Blvd, Los Angeles, CA 90041	(323) 258-1355	http://www.starbucks.com	-118.2240827	34.1410828
367	Coffee Preneur LA	2025 S Figueroa St., Los Angeles, CA 90007	(213) 748-1886	not found	-118.2736432	34.0325745
368	Angelino&#39s Coffee	1607 Perrino Pl, Los Angeles, CA 90023	(888) 407-0889	http://www.angelinos.com	-118.222979	34.020215
369	Rae G Cafe	3666 S Soto St, Vernon, CA 90058	(323) 585-5551	not found	-118.2196595	34.0091612
370	Tully&#39s Coffee	855 N Vermont Ave, Los Angeles, CA 90029	(323) 953-4000	http://www.tullyscoffeeshops.com	-118.2927846	34.0892329
371	The Coffee Bean & Tea Leaf	500 World Way, Los Angeles, CA 90045	not found	http://coffeebean.com	-118.40456	33.9413157
372	Starbucks Coffee	1318 Huntington Dr, South Pasadena, CA 91030	(323) 255-1684	http://www.starbucks.com	-118.1528429	34.104235
373	Pronto Caffe	3530 Wilshire Blvd # 102, Los Angeles, CA 90010	(213) 351-9818	not found	-118.3012045	34.0613691
374	Alfred Coffee	8509 Melrose Ave, West Hollywood, CA 90069	(424) 288-4126	http://alfredcoffee.com	-118.3769476	34.0819487
375	Peet&#39s Coffee & Tea	12835 W Washington Blvd, Los Angeles, CA 90066	(310) 577-0747	http://www.peets.com	-118.4378879	33.9957214
376	Nick&#39s Coffee Shop & Deli	8536 W Pico Blvd, Los Angeles, CA 90035	(310) 652-3567	not found	-118.3771138	34.0532708
377	Par S Cafe	1269 Westwood Blvd, Los Angeles, CA 90024	(310) 473-0303	not found	-118.443298	34.057267
378	Breakroom Cafe	3244 Cahuenga Blvd W, Los Angeles, CA 90068	(323) 963-5500	http://www.thebreakroomcafe.com	-118.3485903	34.129759
379	Starbucks Coffee	3535 S La Cienega Blvd, Los Angeles, CA 90016	(310) 895-1131	http://www.starbucks.com	-118.3737911	34.0233064
380	The Coffee Bean & Tea Leaf	18 S Fair Oaks Ave, Pasadena, CA 91105	(626) 449-5499	http://coffeebean.com	-118.1502809	34.1453969
381	Starbucks Coffee	2100 S Atlantic Blvd, Monterey Park, CA 91754	(323) 888-2382	http://www.starbucks.com	-118.14358	34.0390692
382	Yum-Yum Donuts	3610 Venice Blvd, Los Angeles, CA 90019	(323) 733-6075	http://www.yumyumdonuts.com	-118.323899	34.0433692
383	Peet&#39s Coffee & Tea	1416 E Colorado St Ralph&#39s #0060 Grocery, Glendale, CA 91205	(818) 548-0945	http://www.peets.com	-118.2468148	34.1337367
384	Peet&#39s Coffee & Tea	12027 San Vicente Blvd Vicente Foods; Inc Grocery, Los Angeles, CA 90049	(310) 472-5215	http://www.peets.com	-118.4980744	34.0963058
385	El Tarasco Cafe	2130 S San Pedro St, Los Angeles, CA 90011	(213) 746-8781	not found	-118.2588653	34.02498
386	Ozero by Cofftea	131 S Central Ave, Los Angeles, CA 90012	(213) 626-8889	not found	-118.2395445	34.048289
387	Urth Caffe	8565 Melrose Ave, West Hollywood, CA 90069	(310) 659-0628	http://www.urthcaffe.com	-118.378866	34.0821163
388	Starbucks Coffee	1258 S La Brea Ave, Los Angeles, CA 90019	(323) 934-2408	http://www.starbucks.com	-118.3440113	34.0509876
389	ChocoVivo	12469 W Washington Blvd, Los Angeles, CA 90066	(310) 845-6259	http://www.chocovivo.com	-118.4304379	33.9970667
390	Spudnuts Donuts	4949 W Slauson Ave, Los Angeles, CA 90056	(323) 292-8770	http://www.spudnutinfo.com	-118.3645695	33.9878244
391	Yum-Yum Donuts	2633 N Figueroa St, Los Angeles, CA 90065	(323) 224-9308	http://www.yumyumdonuts.com	-118.2222454	34.084021
392	Speedy ATM	3250 Wilshire Blvd, Los Angeles, CA 90010	(213) 738-5204	not found	-118.2932706	34.0610743
393	Spoke Bicycle Cafe	3050 N Coolidge Ave, Los Angeles, CA 90039	(323) 684-1130	http://spokebicyclecafe.com/index.php/contact	-118.2435685	34.1050986
394	Starbucks Coffee	1898 Westwood Blvd, Los Angeles, CA 90025	(310) 470-8494	http://www.starbucks.com	-118.4353086	34.0483898
395	Lupitas Cafe	6428 Compton Ave, Los Angeles, CA 90001	(323) 585-0211	not found	-118.2474749	33.9809007
396	Caffe Pausa	3530 Wilshire Blvd Ste 102, Los Angeles, CA 90010	(213) 351-9818	not found	-118.3012045	34.0613691
397	Starbucks Coffee	11727 W Olympic Blvd, Los Angeles, CA 90064	(310) 473-5238	http://www.starbucks.com	-118.4492873	34.0347927
398	Upstage Cafe	607 S Western Ave, Los Angeles, CA 90005	(213) 739-9913	not found	-118.3093443	34.0631213
